collected_at,department,capacity,applicants,applicants_extra,capacity_general,applicants_general
2026-09-07T13:20,AI컴퓨터학부,60,6,1,,
2026-09-07T13:20,스마트IT학부,30,0,1,,
2026-09-07T13:20,전기전자공학과,35,9,0,,
2026-09-07T13:20,건축학과,35,2,0,,
2026-09-07T13:20,재난안전학과,25,2,0,,
2026-09-07T13:20,보건안전공학과,27,0,1,,
2026-09-07T14:30,AI컴퓨터학부,60,6,1,,
2026-09-07T14:30,스마트IT학부,30,0,1,,
2026-09-07T14:30,전기전자공학과,35,9,0,,
2026-09-07T14:30,건축학과,35,2,0,,
2026-09-07T14:30,재난안전학과,25,2,0,,
2026-09-07T14:30,보건안전공학과,27,0,1,,
2026-09-07T15:30,AI컴퓨터학부,60,6,2,,
2026-09-07T15:30,스마트IT학부,30,0,1,,
2026-09-07T15:30,전기전자공학과,35,9,0,,
2026-09-07T15:30,건축학과,35,2,0,,
2026-09-07T15:30,재난안전학과,25,2,0,,
2026-09-07T15:30,보건안전공학과,27,0,1,,
2026-09-07T16:00,AI컴퓨터학부,60,6,2,,
2026-09-07T16:00,스마트IT학부,30,0,1,,
2026-09-07T16:00,전기전자공학과,35,9,1,,
2026-09-07T16:00,건축학과,35,3,1,,
2026-09-07T16:00,재난안전학과,25,2,0,,
2026-09-07T16:00,보건안전공학과,27,0,1,,
2026-09-07T17:00,AI컴퓨터학부,60,6,2,,
2026-09-07T17:00,스마트IT학부,30,0,1,,
2026-09-07T17:00,전기전자공학과,35,10,1,,
2026-09-07T17:00,건축학과,35,3,1,,
2026-09-07T17:00,재난안전학과,25,2,0,,
2026-09-07T17:00,보건안전공학과,27,1,1,,
2026-09-07T18:00,AI컴퓨터학부,60,6,2,,
2026-09-07T18:00,스마트IT학부,30,0,1,,
2026-09-07T18:00,전기전자공학과,35,11,2,,
2026-09-07T18:00,건축학과,35,4,1,,
2026-09-07T18:00,재난안전학과,25,2,0,,
2026-09-07T18:00,보건안전공학과,27,3,1,,
2026-09-07T19:00,AI컴퓨터학부,60,7,2,,
2026-09-07T19:00,스마트IT학부,30,1,1,,
2026-09-07T19:00,전기전자공학과,35,12,2,,
2026-09-07T19:00,건축학과,35,4,1,,
2026-09-07T19:00,재난안전학과,25,3,0,,
2026-09-07T19:00,보건안전공학과,27,5,1,,
2026-09-07T20:00,AI컴퓨터학부,60,11,3,,
2026-09-07T20:00,스마트IT학부,30,1,1,,
2026-09-07T20:00,전기전자공학과,35,14,2,,
